txn_id,src_account,dst_account,amount,timestamp,is_fraud
TXN00114,ACC0098,ACC0068,481.46,2025-01-07 06:18,0
TXN00433,ACC0043,ACC0037,368.94,2025-02-11 17:33,0
TXN00183,ACC0059,ACC0109,248.68,2025-01-25 15:06,0
TXN00079,ACC0017,ACC0080,431.96,2025-02-28 12:37,0
TXN00342,ACC0052,ACC0047,415.34,2025-02-17 21:10,0
TXN00267,ACC0094,ACC0105,519.9,2025-01-10 07:06,0
TXN00315,ACC0055,ACC0015,623.18,2025-01-16 09:07,0
TXN00136,ACC0064,ACC0057,73.55,2025-01-03 13:47,0
TXN00366,ACC0045,ACC0067,716.99,2025-02-24 02:16,0
TXN00057,ACC0032,ACC0061,492.91,2025-02-19 02:29,0
TXN00247,ACC0054,ACC0059,279.31,2025-01-24 09:46,0
TXN00091,ACC0049,ACC0051,753.76,2025-01-13 02:37,0
TXN00287,ACC0011,ACC0075,534.25,2025-02-28 11:19,0
TXN00389,ACC0006,ACC0052,50.41,2025-02-05 06:23,0
TXN00447,ACC0059,ACC0096,791.18,2025-01-24 13:44,0
TXN00516,ACC0008,ACC0082,17.47,2025-01-11 02:31,0
TXN00229,ACC0056,ACC0013,636.55,2025-01-08 20:41,0
TXN00472,ACC0030,ACC0070,181.64,2025-02-25 01:08,0
TXN00449,ACC0028,ACC0098,205.5,2025-02-18 19:55,0
TXN00088,ACC0033,ACC0099,301.43,2025-02-08 19:47,0
TXN00174,ACC0112,ACC0013,360.51,2025-02-14 09:57,0
TXN00560,ACC0144,ACC0146,1533.82,2025-01-06 21:42,1
TXN00280,ACC0104,ACC0116,671.53,2025-02-15 02:32,0
TXN00246,ACC0082,ACC0004,82.49,2025-02-03 06:24,0
TXN00077,ACC0056,ACC0063,32.93,2025-01-22 21:43,0
TXN00438,ACC0079,ACC0110,514.59,2025-01-26 13:32,0
TXN00195,ACC0117,ACC0106,755.91,2025-02-21 09:47,0
TXN00299,ACC0057,ACC0079,235.09,2025-02-17 14:14,0
TXN00540,ACC0144,ACC0146,1529.49,2025-01-25 18:33,1
TXN00421,ACC0018,ACC0014,496.38,2025-02-07 07:15,0
TXN00355,ACC0119,ACC0090,513.78,2025-02-20 11:32,0
TXN00478,ACC0064,ACC0007,778.11,2025-02-11 21:24,0
TXN00219,ACC0101,ACC0031,475.19,2025-01-02 05:16,0
TXN00208,ACC0013,ACC0107,396.58,2025-01-27 08:02,0
TXN00186,ACC0002,ACC0073,693.4,2025-02-19 23:03,0
TXN00050,ACC0096,ACC0116,147.48,2025-02-06 09:25,0
TXN00218,ACC0085,ACC0111,30.37,2025-01-01 11:50,0
TXN00572,ACC0137,ACC0150,1470.97,2025-01-08 10:35,1
TXN00126,ACC0098,ACC0027,504.16,2025-01-17 21:05,0
TXN00549,ACC0123,ACC0141,1525.27,2025-01-24 12:20,1
TXN00533,ACC0122,ACC0130,1501.91,2025-01-24 00:19,1
TXN00278,ACC0117,ACC0104,461.61,2025-01-13 10:38,0
TXN00435,ACC0035,ACC0025,648.96,2025-01-22 05:46,0
TXN00529,ACC0121,ACC0132,1833.12,2025-01-10 14:31,1
TXN00431,ACC0120,ACC0096,770.08,2025-03-01 09:56,0
TXN00456,ACC0008,ACC0072,375.28,2025-02-21 09:46,0
TXN00546,ACC0139,ACC0148,1454.79,2025-01-26 10:28,1
TXN00512,ACC0046,ACC0035,638.0,2025-01-06 11:25,0
TXN00029,ACC0120,ACC0102,778.04,2025-01-03 11:13,0
TXN00522,ACC0127,ACC0149,2061.36,2025-01-12 05:36,1
TXN00428,ACC0069,ACC0095,581.26,2025-03-01 01:58,0
TXN00303,ACC0021,ACC0105,167.76,2025-02-08 04:55,0
TXN00372,ACC0074,ACC0034,524.39,2025-02-19 18:26,0
TXN00474,ACC0041,ACC0074,482.35,2025-02-13 10:15,0
TXN00310,ACC0029,ACC0004,261.76,2025-01-07 22:41,0
TXN00244,ACC0040,ACC0118,278.46,2025-01-01 05:55,0
TXN00554,ACC0126,ACC0149,1540.66,2025-01-07 07:16,1
TXN00291,ACC0068,ACC0012,520.36,2025-01-28 16:23,0
